X,Y,U,K,KU,H,HU
-0.4,-0.9,0.6,5,0.2,95,0.621052632
-0.4,-0.85,0.61,7,0.714285714,93,0.602150538
-0.4,-0.8,0.68,9,0.555555556,91,0.692307692
-0.4,-0.75,0.66,5,0.6,95,0.663157895
-0.4,-0.7,0.69,7,0.571428571,93,0.698924731
-0.4,-0.65,0.63,9,0.333333333,91,0.659340659
-0.4,-0.6,0.65,4,0.25,96,0.666666667
-0.4,-0.55,0.59,2,1,98,0.581632653
-0.4,-0.5,0.66,4,0.25,96,0.677083333
-0.4,-0.45,0.6,2,1,98,0.591836735
-0.4,-0.4,0.59,2,0.5,98,0.591836735
